epoch,metric,value
1,train_loss,0.3176
2,train_loss,0.3112
3,train_loss,0.3079
4,train_loss,0.2966
5,train_loss,0.2936
6,train_loss,0.2926
7,train_loss,0.2929
8,train_loss,0.2926
9,train_loss,0.2819
10,train_loss,0.279
11,train_loss,0.2775
12,train_loss,0.2774
13,train_loss,0.2759
14,train_loss,0.2659
15,train_loss,0.2649
1,val_auc,0.844
2,val_auc,0.8422
3,val_auc,0.8435
4,val_auc,0.8565
5,val_auc,0.8543
6,val_auc,0.8595
7,val_auc,0.8495
8,val_auc,0.8573
9,val_auc,0.8613
10,val_auc,0.8627
11,val_auc,0.866
12,val_auc,0.8607
13,val_auc,0.863
14,val_auc,0.8694
15,val_auc,0.8676
1,val_pr_auc,0.3932
2,val_pr_auc,0.3744
3,val_pr_auc,0.364
4,val_pr_auc,0.4316
5,val_pr_auc,0.4198
6,val_pr_auc,0.4327
7,val_pr_auc,0.4119
8,val_pr_auc,0.4207
9,val_pr_auc,0.4472
10,val_pr_auc,0.4375
11,val_pr_auc,0.4646
12,val_pr_auc,0.4493
13,val_pr_auc,0.4494
14,val_pr_auc,0.4677
15,val_pr_auc,0.4567
